Year,Actor,Name,Globe best actor winner,Globe best actor nominee,BAFTA best actor winner,BAFTA best actor nominee,Spirit best actor winner,Spirit best actor nominee,Guild best actor winner,Guild best actor nominee
2001,Billy Bob Thornton,The Man Who Wasn't There,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Denzel Washington ,Training Day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2002,Jack Nicholson ,About Schmidt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2002,Adrien Brody ,The Pianist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2002,Michael Caine ,The Quiet American,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Daniel Day-Lewis ,Gangs of New York,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2002,Leonardo DiCaprio,Catch Me If You Can,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Sean Penn ,Mystic River,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2003,Russell Crowe,Master and Commander: The Far Side of the World,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Tom Cruise,The Last Samurai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Ben Kingsley ,House of Sand and Fog,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2003,Jude Law ,Cold Mountain,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,Leonardo DiCaprio ,The Aviator,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
