Year,Name,Director,Globe best director winner,Globe best director nominee,BAFTA best director winner,BAFTA best director nominee,Spirit best director winner,Spirit best director nominee
2003,Mystic River,Clint Eastwood ,0.0,1.0,0.0,0.0,0.0,0.0
2004,Million Dollar Baby,Clint Eastwood ,1.0,1.0,0.0,0.0,0.0,0.0
2004,The Aviator,Martin Scorsese ,0.0,1.0,0.0,0.0,0.0,0.0
2004,Closer,Mike Nichols,0.0,1.0,0.0,0.0,0.0,0.0
2004,Finding Neverland,Marc Forster,0.0,1.0,0.0,1.0,0.0,0.0
2004,Sideways,Alexander Payne ,0.0,1.0,0.0,0.0,0.0,0.0
2005,Brokeback Mountain,Ang Lee ,1.0,1.0,0.0,0.0,0.0,0.0
2005,The Constant Gardener,Fernando Meirelles,0.0,1.0,0.0,1.0,0.0,0.0
2005,"Good Night, and Good Luck",George Clooney ,0.0,1.0,0.0,0.0,0.0,0.0
2005,King Kong,Peter Jackson,0.0,1.0,0.0,0.0,0.0,0.0
2005,Match Point,Woody Allen,0.0,1.0,0.0,0.0,0.0,0.0
2005,Munich,Steven Spielberg ,0.0,1.0,0.0,0.0,0.0,0.0
2006,The Departed,Martin Scorsese ,1.0,1.0,0.0,0.0,0.0,0.0
2006,Babel,Alejandro González Iñárritu ,0.0,1.0,0.0,0.0,0.0,0.0
2006,Flags of Our Fathers,Clint Eastwood,0.0,1.0,0.0,0.0,0.0,0.0
2006,Letters from Iwo Jima,Clint Eastwood ,0.0,1.0,0.0,0.0,0.0,0.0
2006,The Queen,Stephen Frears ,0.0,1.0,0.0,0.0,0.0,0.0
2007,The Diving Bell and the Butterfly,Julian Schnabel ,1.0,1.0,0.0,0.0,0.0,0.0
2007,American Gangster,Ridley Scott,0.0,1.0,0.0,0.0,0.0,0.0
2007,Atonement,Joe Wright,0.0,1.0,0.0,1.0,0.0,0.0
2007,No Country for Old Men,Joel Coen and Ethan Coen ,0.0,1.0,0.0,0.0,0.0,0.0
2007,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,0.0,1.0,0.0,0.0,0.0,0.0
2008,Slumdog Millionaire,Danny Boyle ,1.0,1.0,0.0,0.0,0.0,0.0
2008,The Curious Case of Benjamin Button,David Fincher ,0.0,1.0,0.0,0.0,0.0,0.0
2008,Frost/Nixon,Ron Howard ,0.0,1.0,0.0,0.0,0.0,0.0
2008,The Reader,Stephen Daldry ,0.0,1.0,0.0,0.0,0.0,0.0
2008,Revolutionary Road,Sam Mendes,0.0,1.0,0.0,0.0,0.0,0.0
2009,Avatar,James Cameron ,1.0,1.0,0.0,0.0,0.0,0.0
2009,The Hurt Locker,Kathryn Bigelow ,0.0,1.0,0.0,0.0,0.0,0.0
2009,Inglourious Basterds,Quentin Tarantino ,0.0,1.0,0.0,0.0,0.0,0.0
2009,Invictus,Clint Eastwood,0.0,1.0,0.0,0.0,0.0,0.0
2009,Up in the Air,Jason Reitman ,0.0,1.0,0.0,0.0,0.0,0.0
2010,The Social Network,David Fincher ,1.0,1.0,0.0,0.0,0.0,0.0
2010,Black Swan,Darren Aronofsky ,0.0,1.0,0.0,0.0,0.0,0.0
2010,The Fighter,David O. Russell ,0.0,1.0,0.0,0.0,0.0,0.0
2010,Inception,Christopher Nolan,0.0,1.0,0.0,1.0,0.0,0.0
2010,The King's Speech,Tom Hooper ,0.0,1.0,0.0,0.0,0.0,0.0
2011,Hugo,Martin Scorsese ,1.0,1.0,0.0,0.0,0.0,0.0
2011,The Artist,Michel Hazanavicius ,0.0,1.0,0.0,0.0,0.0,0.0
2011,The Descendants,Alexander Payne ,0.0,1.0,0.0,0.0,0.0,0.0
